,slang,formal
1112,uplot,unggah
1113,uppu,apa
1114,urang,saya
1115,urg,saya
1116,usah,perlu
1117,utang,hutang
1118,utk,untuk
1119,utul,ujian tertulis
1120,valas,valuta asing
1121,vol,volume
1122,w/,dengan
1123,wad,buat
1124,wadir,wakil direktur
1125,wagub,wakil gubernur
1126,wamil,wajib militer
1127,waria,wanita pria
1128,warkop,warung kopi
1129,warnet,warung internet
1130,warteg,warung tegal
1131,wartel,warung telekomunikasi
1132,wat,buat
1133,wk,tertawa
1134,wkt,waktu
1135,wkwk,tertawa
1136,wtf,what the fuck
1137,wth,what the hell
1138,xixixi,tertawa
1139,y,kenapa
1140,ya,iya
1141,yad,yang akan datang
1142,yap,iya
1143,yapz,iya
1144,yaudah,ya sudah
1145,yauwda,ya sudah
1146,yawdah,ya sudah
1147,ybs,yang bersangkutan
1148,yg,yang
1149,yi,yaitu
1150,yl,yang lain
1151,yng,yang
1152,yo,iya
1153,yoha,iya
1154,yowes,ya sudah
1155,yuk,ayo
1156,yup,iya
1157,ywdh,ya sudah
1158,cb,coba
1159,plh,pilih
1160,y,ya
1161,slalu,selalu
1162,munfik,munafik
1163,ahiok,ahok
1164,reklamuk,reklamasi
1165,victory,menang
1166,sma,sama
1167,kmrm,kemeramen
1168,kmrn,kemarin
1169,kowe,kamu
1170,tren,trend
1171,smg,semoga
1172,ngehe,kesal
1173,humoris,lucu
1174,jadiin,jadi
1175,mb,mbak
1176,mz,mas
1177,komun,komunitas
1178,analisise,analisis
1179,stop,henti
1180,sadaar,sadar
1181,manen,panen
1182,sept,september
1183,nyaingin,saing
1184,nmenarik,menarik
1185,war,perang
1186,pake,pakai
1187,janjinyaa,janji
1188,zonk,bodoh
1189,fitnag,fitnah
1190,rights,benar
1191,gub,gubernur
1192,simiskin,miskin
1193,gantengbs,ganteng
1194,ngumpet,sembunyi
1195,bedakin,bedak
1196,hardcore,keras
1197,anjay,anjing
1198,akhirx,akhirnya
1199,prototype,contoh
1200,solve,solusi
1201,rja,raja
1202,watuk,batuk
1203,nyang,yang
1204,ngebully,intimidasi
1205,hurts,pedih
1206,masy,masyarakat
1207,utip,kutip
1208,still,masih
1209,mndukung,mendukung
1210,tauk,tahu
1211,pulgar,kasar
1212,mbual,membual
1213,manggil,panggil
1214,tioghoa,tionghoa
1215,rkyt,rakyat
1216,ngentotin,senggama
1217,ngentot,senggama
1218,kentot,senggama
1219,toys,main
1220,faktakta,fakta
1221,nyemot,ambil
1222,sohib,teman
1223,ego,emosi
1224,rubahnn,rubah
1225,mbaur,baur
1226,trlalu,terlalu
1227,governor,gubernur
1228,nyela,cela
1229,heter,pembenci
1230,heters,pembenci
1231,insom,insomnia
1232,nyembah,sembah
1233,slama,selama
1234,most,paling
1235,modar,mati
1236,ikon,lambang
1237,buangbuang,buang
1238,light,terang
1239,amerik,amarika
1240,pndukung,pendukung
1241,mbabibuta,ceroboh
1242,setting,atur
1243,emank,memang
1244,seting,akting
